epoch,train_loss,train_acc,val_accuracy,val_kappa,val_macro_f1,time_s
1,0.8153140897566219,0.7315165361183638,0.8706911142454161,0.741424129755865,0.7224322964709281,72.45189595222473
2,0.5535389685698221,0.8436248912097476,0.8884626234132581,0.7761981885441691,0.7521664692378176,71.01101636886597
3,0.5084454523420137,0.855689730200174,0.8861495063469675,0.7729332797728576,0.7533517311605822,72.43115377426147
4,0.4785748002760976,0.8608681462140992,0.8909449929478138,0.7819929893627681,0.762580890117764,74.12255787849426
5,0.45532011938452954,0.8673030896431679,0.8858110014104372,0.7694068561278087,0.7487880531934316,70.68234181404114
6,0.44335763299364045,0.8716682985204526,0.8867136812411848,0.7733199841542187,0.7592178163139256,71.75842428207397
7,0.4256753885139194,0.8757615317667538,0.8991255289139634,0.7971309575509957,0.7738092940420918,70.83294129371643
8,0.40585987675389645,0.8805863794604003,0.8975458392101552,0.7939503509106449,0.7739619973393079,69.89412879943848
9,0.39656352931996236,0.8835753916449086,0.894555712270804,0.7875659388018253,0.7674349088988329,72.77656507492065
10,0.3816540302829896,0.8858763054830288,0.892524682651622,0.7846328827670409,0.760966711226299,71.53513765335083
11,0.3677511798420081,0.890592362924282,0.8934837799717913,0.7862516016934187,0.7703763608535903,71.92399287223816
12,0.36221825130638774,0.891250543951262,0.8976586741889986,0.7935801842934583,0.7707047352328598,71.118323802948
13,0.3508501508416418,0.894046453437772,0.9009873060648801,0.7987399371100778,0.7769881892937365,71.2860541343689
14,0.3443278000650132,0.8951914708442124,0.8963046544428773,0.7900086273039377,0.7688575438862999,73.48089265823364
15,0.3342641565737217,0.8978187554395126,0.8997461212976022,0.7962499839735385,0.7746942192739363,71.50280714035034
16,0.326442308025384,0.9002094212358572,0.8997461212976022,0.7971509603115912,0.7762241191258212,71.25517320632935
17,0.3211107705439177,0.8999456048738033,0.8959097320169253,0.7900383883027564,0.7717312816378611,69.4583592414856
18,0.32134074403172813,0.8999401653611836,0.8997461212976022,0.7970435536354059,0.7762698132335465,71.6022801399231
