epoch,train_loss,train_acc,val_loss,val_accuracy,val_kappa,val_macro_f1,time_s
1,0.9273669446498229,0.8420153601694915,0.46541312584955363,0.8414900449582531,0.6770795570357986,0.6892443928376885,29.99557876586914
2,0.7361957012917562,0.8293140889830508,0.4554204990035766,0.8405694712053093,0.6717936209641688,0.6867061905013373,21.936907291412354
3,0.7132548666917967,0.8283818855932203,0.4693028458536271,0.8455362877328195,0.6842791061300821,0.6970785666912857,19.740446090698242
4,0.7006394981457584,0.8314300847457627,0.46744187863065506,0.8451723399700278,0.6792061914746343,0.6912154605375105,19.413929224014282
5,0.693007389218449,0.8318829449152543,0.474226607105074,0.8466495397131235,0.6856773720665081,0.6952779806978912,19.420652866363525
6,0.6882944028800804,0.8315704449152542,0.4707133005550831,0.8427103403982017,0.6767565811153373,0.6906019996877306,19.66080617904663
7,0.6838663171070306,0.8327568855932204,0.4719617383714484,0.8486405480625134,0.6879434660089485,0.6951982027372328,19.702680587768555
8,0.6796064556817234,0.833146186440678,0.47062993358267985,0.8498180261186041,0.6907056121146276,0.6990177360143403,20.402146100997925
9,0.6824143267305157,0.8316498940677967,0.47098703923437996,0.8438878184542924,0.6797398708916866,0.6914667977171192,21.274559497833252
10,0.6805078442401715,0.8314194915254237,0.4703252167945193,0.8514450867052024,0.6936356254391005,0.6986956041909294,21.264505863189697
11,0.6818332036109072,0.8315148305084745,0.46926148219209135,0.8470348961678441,0.684847538227956,0.6955120707358805,21.505186080932617
12,0.6788641000084937,0.8317558262711865,0.47286606611920434,0.8423249839434811,0.6775594033970056,0.6905019433339155,19.290570735931396
13,0.6795122354789618,0.8295709745762712,0.4746965997222531,0.845686148576322,0.6853552460549341,0.6950207839658538,19.415608167648315
