,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,21837,151,195,119,88
true_N1,798,223,812,49,72
true_N2,1247,167,3111,655,90
true_N3,44,0,60,462,0
true_REM,768,368,770,65,369
