,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,23988,3661,39,123,1945
true_N1,142,870,295,25,408
true_N2,97,766,4210,1240,829
true_N3,2,12,41,1154,5
true_REM,39,277,203,4,2425
