,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,28180,2421,33,73,115
true_N1,19,1011,274,91,251
true_N2,3,1295,4445,821,882
true_N3,0,41,435,1469,27
true_REM,3,257,90,0,2274
