epoch,train_loss,train_acc,val_loss,val_accuracy,val_kappa,val_macro_f1,time_s
1,0.9233750502746441,0.8251831802274716,0.43912032633554093,0.8426675230143438,0.6851287260840475,0.6856147166177716,25.95571208000183
2,0.7228882068099058,0.8256260936132983,0.4043863137976193,0.8512738171697709,0.699628748576764,0.6962077926295881,23.624833822250366
3,0.6864388663889998,0.8313566272965879,0.38823840897143513,0.8516163562406337,0.7009079211213467,0.6987194699176505,23.807911157608032
4,0.6624908073017544,0.8307469378827647,0.3722846669702605,0.856840077071291,0.7132979950249019,0.7066381424269321,21.9931800365448
5,0.6392995274477542,0.8335875984251968,0.3689330131177587,0.8566473988439306,0.715933144728611,0.7094216932079642,22.05570912361145
6,0.627381389841087,0.8363899825021872,0.3587504347331313,0.8591950331834725,0.7182212954696576,0.7085175901676654,22.075709104537964
7,0.6183751130768873,0.8351870078740158,0.3539855544898181,0.8621708413615928,0.7235565133373072,0.712603080078609,24.706387042999268
8,0.6174785808502747,0.835971675415573,0.3559171292867836,0.8606936416184972,0.7232737964264468,0.711132538030465,22.849102020263672
9,0.6103992742290257,0.8368766404199475,0.34660909118242855,0.8618925283665168,0.7244556589334374,0.7169841047177394,23.235002994537354
10,0.6072303355098618,0.8377405949256342,0.34595015890747977,0.8619781631342325,0.724571435357398,0.7135711820663835,23.645254135131836
11,0.6012072992298758,0.8376722440944881,0.3492920071347588,0.8605651894669236,0.7232059843202716,0.7151213347275418,23.777770042419434
12,0.5991950343123155,0.8377050524934383,0.345511657065624,0.8639263540997645,0.728639991279298,0.7181300782811102,23.715218782424927
13,0.6033956395530388,0.8377050524934383,0.34403174232633305,0.8670092057375295,0.7341612741480104,0.720862727724664,24.110960006713867
14,0.596705933083857,0.8390693350831147,0.3456228249328495,0.8609505459216442,0.7248868044468098,0.7150577270585045,24.047093629837036
15,0.591474722290769,0.8390857392825897,0.3426935564358927,0.8630700064226076,0.7285136804370964,0.7181869913313411,24.611956119537354
16,0.5980000091811358,0.8398430664916885,0.33920608561233184,0.8641190323271248,0.728328296317192,0.7187011690117814,24.981704473495483
17,0.590833570267608,0.8396052055993001,0.3425459901065917,0.8622136587454506,0.7253851476064437,0.7159949294586061,23.027771711349487
18,0.5913979956594043,0.8399360236220472,0.34372325494863115,0.8627702847356027,0.7288801343499265,0.7184725994904471,21.835755825042725
