fold,accuracy,kappa,macro_f1,weighted_f1,mgm
1,0.9224952741020794,0.8219170231364181,0.7488828969041675,0.9280410927833526,0.7695568910806396
2,0.9196808510638298,0.8536227358795945,0.7794612071306143,0.9316036248194802,0.7780983207423856
3,0.9459749552772808,0.8959501945486921,0.8485068731479567,0.9466429985687608,0.8676538728763832
4,0.9301056338028169,0.8713298984178603,0.7993361636537611,0.9337232856875827,0.8474569341850927
