,Wake,N1,N2,N3,REM
Wake,0.9675686517035436,0.02526928204909387,0.00032539539822402615,0.0006048732242866584,0.00623179762485182
N1,0.039064326781563345,0.5247934217854531,0.10589810103889122,0.009694421954005116,0.3205497284400872
N2,0.00044483985765124553,0.025516645734726985,0.8409965767316048,0.06460898370517884,0.0684329539708381
N3,0.00042087542087542086,0.0017045454545454545,0.0745479347041847,0.9204857353294853,0.002840909090909091
REM,0.002891042780748663,0.023027235418480285,0.03838025432160179,0.0,0.9357014674791693
