,Wake,N1,N2,N3,REM
Wake,0.9618473895582329,0.020833333333333332,0.000502008032128514,0.000502008032128514,0.01631526104417671
N1,0.008620689655172414,0.4482758620689655,0.034482758620689655,0.017241379310344827,0.49137931034482757
N2,0.0,0.008,0.736,0.114,0.142
N3,0.0,0.006818181818181818,0.10681818181818181,0.875,0.011363636363636364
REM,0.0,0.028,0.0,0.0,0.972
