,Wake,N1,N2,N3,REM
Wake,0.9889129259058951,0.010275824770146024,0.0,0.0005408328826392645,0.00027041644131963225
N1,0.14220183486238533,0.6330275229357798,0.06422018348623854,0.0045871559633027525,0.1559633027522936
N2,0.0017793594306049821,0.033807829181494664,0.8612099644128114,0.051601423487544484,0.051601423487544484
N3,0.0,0.0,0.04285714285714286,0.9571428571428572,0.0
REM,0.0058823529411764705,0.008823529411764706,0.03235294117647059,0.0,0.9529411764705882
