,Wake,N1,N2,N3,REM
Wake,0.9360341151385928,0.05730277185501066,0.0007995735607675906,0.0,0.005863539445628998
N1,0.0,0.3983050847457627,0.2542372881355932,0.01694915254237288,0.3305084745762712
N2,0.0,0.020107238605898123,0.9410187667560321,0.020107238605898123,0.01876675603217158
N3,0.0016835016835016834,0.0,0.08080808080808081,0.9175084175084175,0.0
REM,0.0,0.03255813953488372,0.08139534883720931,0.0,0.8860465116279069
