,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,11644,620,24,261,10
true_N1,33,441,106,36,12
true_N2,0,278,2245,348,42
true_N3,0,2,11,270,0
true_REM,31,98,53,0,820
