epoch,train_loss,val_kappa,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,1.1494364566273159,0.7215398890384208,0.8603159071847917,0.6107432797277108,0.8580795019913617,0.00015
2,0.6736256602775268,0.7762409986566878,0.8892228124126362,0.690057256465435,0.8890915839789963,0.0003
3,0.5400285465529923,0.8038075593362062,0.8999860218059826,0.7384902309475364,0.9045004373623308,0.0002977211629518312
4,0.46865833665272505,0.7977460566405181,0.8974280123008107,0.7443278769659123,0.905661571308208,0.0002909538931178862
5,0.4384981128001454,0.8194767360433532,0.9093094772155438,0.7534941944173084,0.913213431957365,0.0002799038105676658
6,0.41082932126868255,0.8139227290884432,0.9058848196812972,0.7523624520802767,0.9098793140808716,0.00026490666646784665
7,0.3940195108448729,0.807391958737837,0.902222532848756,0.7522131059999007,0.9085048455362242,0.0002464181414529809
8,0.3781930898212724,0.779781202320197,0.8866648029074644,0.7422408371756569,0.8984582790770425,0.000225
9,0.35862390747284423,0.8186498596359052,0.9077159630975677,0.7639487876913751,0.913614958877854,0.00020130302149885031
10,0.3482969874751312,0.8145676379127538,0.9060944925915572,0.762222188702874,0.9127312751955798,0.00017604722665003956
11,0.338261863428422,0.8228361171920908,0.910833100363433,0.7662017129909826,0.9153514945193135,0.00015
12,0.3267636095705169,0.8223242195045485,0.9099804305283757,0.7688488904481242,0.9157339799255377,0.00012395277334996044
13,0.31795971926814415,0.817758129774306,0.9077439194856025,0.7641821940412608,0.9134092494624494,9.869697850114969e-05
14,0.30520387383112024,0.8245265836667999,0.9115180318702824,0.7701281258075048,0.916651789640539,7.500000000000002e-05
15,0.30155198986105847,0.8202756400245328,0.9088062622309198,0.7665636424801628,0.9144023399020925,5.358185854701909e-05
16,0.29386656692679597,0.81900643680678,0.9082611126642438,0.7678503873044047,0.9141729687572882,3.509333353215331e-05
17,0.2902439209467948,0.8178204090046362,0.9081073525300531,0.7650742695828121,0.9133686146456739,2.009618943233419e-05
18,0.2851926089574893,0.8274039393884121,0.9128180039138943,0.7701183664890898,0.9169390227754847,9.046106882113751e-06
19,0.28292388846542726,0.8231904696498028,0.9109169695275371,0.7660825479199749,0.9149538342094847,2.2788370481687965e-06
20,0.2797027241789049,0.8218698219765049,0.909910539558289,0.766527930465223,0.915061307655376,0.0
