class,precision,recall,f1-score,support
Wake,0.9959005892902896,0.9607932614606507,0.9780319746061239,52593.0
N1,0.3867947770386795,0.6220285261489699,0.4769861765152666,2524.0
N2,0.8190257196389031,0.8260608142930768,0.8225282244269586,11642.0
N3,0.6174253001954761,0.8225446428571429,0.7053756579996809,2688.0
REM,0.8162059506224942,0.7145760206909293,0.7620173364854216,5413.0
accuracy,0.9056505476890195,0.9056505476890195,0.9056505476890195,0.9056505476890195
macro avg,0.7270704673571685,0.789200653090154,0.7489878740066903,74860.0
weighted avg,0.9212734324802423,0.9056505476890195,0.911545176995215,74860.0
