,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,30281,520,264,518,41
true_N1,354,698,1033,69,130
true_N2,37,86,5518,1273,94
true_N3,0,0,16,746,0
true_REM,110,251,755,34,1222
