,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,21140,3290,52,22,448
true_N1,40,1479,415,36,392
true_N2,7,881,4422,840,570
true_N3,4,35,72,1574,17
true_REM,8,251,108,7,2150
