,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,24770,2427,37,63,332
true_N1,8,768,129,4,181
true_N2,4,601,3075,534,366
true_N3,4,8,195,1961,11
true_REM,0,169,192,1,1410
