,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,23545,1068,218,23,98
true_N1,375,885,788,77,237
true_N2,44,159,5079,1106,332
true_N3,4,6,62,1620,10
true_REM,81,252,344,25,1822
