,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,13345,929,10,19,37
true_N1,28,521,147,25,86
true_N2,10,355,2180,419,195
true_N3,0,0,118,1050,1
true_REM,24,48,153,25,1279
