,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,13851,872,3,2,22
true_N1,21,1062,252,65,122
true_N2,0,372,2923,694,153
true_N3,0,2,19,757,0
true_REM,0,89,162,2,1430
