epoch,train_loss,train_acc,val_loss,val_accuracy,val_kappa,val_macro_f1,time_s
1,0.8559661707045519,0.7485763283972126,0.3495760087092915,0.8407835581245986,0.6876674343990363,0.6638189231247831,75.22227954864502
2,0.5724711405177048,0.8417274608013937,0.27205685952654796,0.8811817597944765,0.7621013101087887,0.7304317145318431,64.43861603736877
3,0.49860803189139724,0.8569386977351916,0.26173706287950804,0.8900663669449796,0.7810900622857646,0.7550937170350297,61.929147481918335
4,0.46085715071366323,0.8677074259581882,0.26925234243395757,0.889145793192036,0.7810011763625784,0.7560448267016,63.43765187263489
5,0.43639838075654686,0.873135344076655,0.25923182457518784,0.8706058659815885,0.7500098210818318,0.7469453925028315,62.09815788269043
6,0.4141763299212988,0.8774553571428572,0.25908391054998225,0.8925711839006637,0.7868655194538121,0.7626319503715308,63.550259590148926
7,0.39957582674553005,0.8817345383275261,0.2582383095865997,0.8841575679725969,0.7730318380262282,0.7572293874245302,64.2384934425354
8,0.3823199948143243,0.8856190113240419,0.25009215710041843,0.8795761078998073,0.7636401214082602,0.7534415194010509,66.6571249961853
9,0.37117753077265664,0.8882621951219513,0.2598694171532697,0.895268679083708,0.7909379319198391,0.7621646184797466,71.06999039649963
10,0.36227685684236693,0.8911422038327527,0.26186299102405397,0.8924641404410191,0.7875773080473814,0.7635841103999859,64.98531174659729
11,0.34889350068873765,0.8942753702090592,0.2601371951675586,0.8886748019695997,0.779563507501916,0.7597099263277094,62.02299952507019
12,0.3420145756915937,0.8970954921602787,0.27120511521256,0.8959537572254336,0.7932215294452802,0.7650066593024409,64.18906235694885
13,0.3288753204762713,0.8988158754355401,0.29131621881263015,0.8989295654035538,0.7991372120044187,0.7665345009987161,62.35012221336365
14,0.32288333074189746,0.9013882839721254,0.27053960813430233,0.8937272532648255,0.7875674615960944,0.76198521457571,62.03055143356323
15,0.315249370852638,0.9029562282229965,0.2727900711428288,0.8932990794262471,0.7884750517848179,0.7632498479704952,62.093735218048096
16,0.3077935129959552,0.9037864764808362,0.276704485111633,0.8938128880325412,0.7892596450472539,0.7624755296727705,61.14641189575195
17,0.30323939422552826,0.9040831881533101,0.2790824357991242,0.8989509740954827,0.7981843275439167,0.7669151576338656,61.98900055885315
18,0.2989472800483671,0.9063126088850174,0.276514158600851,0.8966174266752301,0.7936699154536968,0.764725822745902,61.47176718711853
19,0.29795307313979735,0.9059015679442509,0.2813567714476063,0.8979019481909656,0.7962508720940518,0.7654861712899435,61.26853632926941
20,0.2992452543507316,0.9059206228222997,0.2793699697938243,0.8944765574823378,0.7903324019342571,0.7627066791972116,62.92825531959534
