epoch,train_loss,train_acc,val_accuracy,val_kappa,val_macro_f1,time_s
1,0.8649776646869091,0.7353645833333333,0.8786459802538787,0.7552950121085292,0.715413509362383,78.98110342025757
2,0.584833198862566,0.8376692708333333,0.8970380818053597,0.7930533363300009,0.769041274704615,75.00285053253174
3,0.5251287713357978,0.8518046875,0.8977150916784203,0.793583225513282,0.7590842085199357,76.85678744316101
4,0.4904289090548077,0.8607838541666667,0.8888011283497884,0.7781267522202376,0.7524791860797483,80.91921854019165
5,0.46440217119885796,0.8676848958333333,0.8999153737658674,0.7961341305243512,0.7614179152955044,78.35411190986633
6,0.4435342187887675,0.8731458333333333,0.904033850493653,0.8071893558165792,0.7817524609596084,79.970862865448
7,0.42681305073109554,0.8765677083333333,0.9007616361071932,0.7995578959162413,0.7655113771239187,78.94146919250488
8,0.40979007614225094,0.8806875,0.9082087447108603,0.8147573286527572,0.7878136803145621,83.47913074493408
9,0.39927731665994104,0.8828385416666666,0.9039210155148096,0.8071280997762014,0.7765234453009089,79.81141948699951
10,0.38705744079125726,0.8857786458333333,0.90425952045134,0.8074736588068008,0.7810781834570266,79.05057549476624
11,0.3735640454897263,0.8889401041666667,0.8962482369534556,0.789286614052503,0.7584948659944132,81.96402287483215
12,0.36491338978049503,0.89190625,0.902002820874471,0.8028436701988514,0.7763082782786732,77.35612893104553
13,0.3536883045623422,0.8938359375,0.9023413258110015,0.8024303304268807,0.7758072938988844,79.67280459403992
