,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,25464,1912,30,45,178
true_N1,16,918,61,2,93
true_N2,18,966,2883,403,310
true_N3,2,12,225,1930,10
true_REM,0,273,96,1,1402
