,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,29472,1093,30,27,188
true_N1,74,1001,54,12,371
true_N2,11,1453,4209,1142,635
true_N3,2,27,91,1673,7
true_REM,80,261,170,21,2026
