fold,n_test_subjects,test_subjects,accuracy,kappa,macro_f1,weighted_f1,mgm,Wake_f1,N1_f1,N2_f1,N3_f1,REM_f1
1,9,SC4051;SC4092;SC4222;SC4311;SC4412;SC4421;SC4531;SC4612;SC4621,0.8638957537631993,0.7387555577845322,0.712143737358802,0.8824119245226814,0.7739969969265361,0.9653333333333334,0.35150201300712297,0.7312228429546865,0.7205950720595072,0.7920654254393596
2,9,SC4071;SC4201;SC4221;SC4242;SC4431;SC4622;SC4632;SC4641;SC4662,0.8862656072644722,0.764973790062967,0.7134890845151783,0.9005876522464047,0.8145120331192558,0.9682116622245336,0.5372680255552176,0.8019032513877875,0.48668688911358277,0.7733755942947702
3,9,SC4011;SC4151;SC4312;SC4322;SC4532;SC4611;SC4711;SC4732;SC4741,0.8570934256055364,0.745800043313686,0.7324989152535892,0.8704151430634474,0.7765145354970228,0.9658670322138451,0.5016396700785054,0.7604927959908123,0.7256692913385827,0.7088257866462011
4,8,SC4041;SC4112;SC4121;SC4122;SC4171;SC4401;SC4501;SC4701,0.84446261682243,0.703524186676901,0.6802823753159558,0.8628273268493316,0.7758270995000418,0.9507748883635408,0.37246703119974267,0.7045006570302234,0.6294471811713191,0.7442221188149527
5,8,SC4012;SC4101;SC4141;SC4231;SC4302;SC4321;SC4411;SC4642,0.8955375782881002,0.7989310039742842,0.73692894915656,0.906555824297544,0.824079014641153,0.9723644209081103,0.4608501118568233,0.8223627703599594,0.6043737574552683,0.824693685202639
6,8,SC4031;SC4032;SC4052;SC4131;SC4152;SC4432;SC4602;SC4721,0.8994063167893612,0.810406673302261,0.768659525928469,0.9065782461410896,0.8082328454456821,0.9785350582054373,0.45206349206349206,0.7948511665325825,0.7861704470380974,0.8316774658027358
7,8,SC4001;SC4061;SC4402;SC4422;SC4442;SC4522;SC4601;SC4651,0.8850201342281879,0.7522055625805404,0.7406076367459855,0.9019061640946329,0.8152969666585067,0.9649443739266781,0.37863282848956203,0.7120972002113048,0.8410636982065554,0.8063000828958276
8,8,SC4161;SC4251;SC4502;SC4631;SC4661;SC4722;SC4731;SC4762,0.8532287822878228,0.7166153692725903,0.66327208920991,0.8656987515312445,0.7042823292760506,0.9620020241052535,0.4854744996772111,0.7582612116443745,0.5243589743589744,0.5862637362637363
9,8,SC4022;SC4062;SC4181;SC4191;SC4511;SC4652;SC4702;SC4742,0.8690015682174594,0.767922878201335,0.7561807103634581,0.8796982647793413,0.8162789639868776,0.9614155914201552,0.5059687786960514,0.7791666666666667,0.7734674329501916,0.7608850820842256
10,8,SC4021;SC4081;SC4091;SC4102;SC4182;SC4202;SC4241;SC4751,0.9116474053931566,0.8199986714479004,0.773741742870224,0.9184213674742606,0.8290414546111333,0.9834301136828331,0.47862494490965185,0.8066255778120185,0.7855674811600822,0.814460596786534
