,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,28628,2073,11,38,72
true_N1,11,1144,245,73,173
true_N2,2,1294,5079,652,419
true_N3,0,23,433,1513,3
true_REM,3,285,86,0,2250
