epoch,train_loss,train_acc,val_accuracy,val_kappa,val_macro_f1,time_s
1,0.8396575859748612,0.7405637254901961,0.876558533145275,0.7570730306534231,0.7402373899255966,75.44268107414246
2,0.5711523631305659,0.8432393790849673,0.8802820874471086,0.758512237453979,0.7258983770879447,77.03002548217773
3,0.5096778161788581,0.8565819035947713,0.8957404795486601,0.7901632806266221,0.7580523313285512,82.23629093170166
4,0.4732397346665938,0.8634982638888888,0.9045416078984485,0.8070683650575808,0.7782555391661095,78.96048831939697
5,0.44700903417176396,0.8696027369281045,0.9068547249647391,0.8125546234414595,0.7870574018540585,80.0248372554779
6,0.4311311551892097,0.8768969566993464,0.8863751763046545,0.773393948578683,0.7479716980228411,88.21985673904419
7,0.4117689726987959,0.8810278799019607,0.9031311706629055,0.8047630206281493,0.7755248493319842,81.24868297576904
8,0.40152713291509945,0.8849571078431373,0.8893088857545839,0.7790394822667754,0.7594793367676546,88.11697936058044
9,0.38579105718598217,0.8884880514705882,0.9002538787023977,0.7999542837275859,0.7748797278752425,83.31797909736633
10,0.37687388230601354,0.8901424632352941,0.9101269393511989,0.8182603869700795,0.7887532807976145,81.05090570449829
11,0.3615733276014411,0.8960911968954248,0.9043723554301834,0.8084749108101611,0.7874028697125718,83.14368557929993
12,0.3506682619760058,0.8972860498366013,0.8995204513399154,0.7982359409839732,0.7718928932906761,83.77970814704895
13,0.34205605047956567,0.8986698325163399,0.9066290550070522,0.8121027386762242,0.7844254354141036,84.6328718662262
14,0.3331743270243172,0.9008833741830066,0.9065162200282088,0.8119354195041725,0.7825613955373152,83.97944569587708
15,0.32667168317055134,0.9032935049019608,0.9027926657263752,0.8043881832898097,0.7760000886542008,85.60050940513611
