epoch,train_loss,train_acc,val_loss,val_accuracy,val_kappa,val_macro_f1,time_s
1,0.5736775405133249,0.8420868644067797,0.3141742855939696,0.8793406122885892,0.7564187880499011,0.7350429910331677,64.65056872367859
2,0.47985614560627915,0.8615174788135593,0.28614555110286,0.880218368657675,0.760812571621704,0.7438822260902731,63.97007656097412
3,0.44728817813288346,0.8691287076271187,0.28617061869457827,0.878848212374224,0.7563724135535448,0.7385289346019668,63.76397347450256
4,0.4288975406644103,0.8750926906779661,0.2607067524597748,0.8924427317490902,0.7851864629900032,0.7607698257360451,62.6600341796875
5,0.40426906560172177,0.8813109110169491,0.2808225891531731,0.8964889745236566,0.7933370861615021,0.7656603008003777,62.63592171669006
6,0.3860826532257414,0.8844941737288136,0.2746142061951416,0.897752087347463,0.7952860836910671,0.7695410893697533,62.95815110206604
7,0.3776714404960456,0.8877118644067796,0.3131317729162289,0.8815242988653393,0.7690223142589621,0.7521055416219548,63.570244550704956
8,0.35887528748821373,0.8924496822033898,0.28399792062511436,0.8993149218582744,0.7981833686176216,0.7699941587609505,64.61704850196838
9,0.3488332555382326,0.893771186440678,0.29469437266613635,0.8979661742667523,0.7955858177619295,0.763376867672042,63.480708599090576
10,0.3342466135824486,0.8977462923728814,0.29890688675593524,0.8997645043887819,0.7991959564289747,0.7687507037643406,62.9924693107605
11,0.3256063546910742,0.8985672669491526,0.30715205377298566,0.8979447655748234,0.7945471912644124,0.7660607715468986,63.812511920928955
12,0.3163242998880222,0.902219279661017,0.30055922566988036,0.8914793406122886,0.7833561366030963,0.7597734639523874,62.57697772979736
13,0.3048042141017643,0.9039698093220339,0.3015944823009897,0.8938128880325412,0.787438263572854,0.7606142670957329,63.27092123031616
