,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,28764,1878,59,700,223
true_N1,117,1406,454,61,246
true_N2,10,939,4726,1138,195
true_N3,0,0,21,741,0
true_REM,55,672,202,32,1411
